English,CEFR,gender,word,wordAudio,pronunciation,definition,sentenceAudio,example,sentenceTranslation,To Delete,Duplicate?
"search, quest",B1,noun,جستجو,X,jostoju,تلاش و گشتن برای پیدا کردنِ یک فرد یا شیء,X,دانشمندان در جستجوی یافتن راهی برای درمان این بیماری سخت در تمام آزمایشگاه‌های جهان هستند.,Scientists are in a quest to find a way to cure this difficult disease in all laboratories around the world.,,
search,B1,verb,جستجو کردن,X,jostoju kardan,گشتنِ دقیق برای یافتنِ چیزی که پنهان یا گم شده,X,من تمام کشوهای میز را برای پیدا کردن پاسپورتم جستجو کردم، اما هیچ اثری از آن نبود.,"I searched all the desk drawers to find my passport, but there was no sign of it.",,
geography,B1,noun,جغرافیا,X,joġrâfiyâ,دانشِ زمین و نقشه,X,در مدرسه جغرافیا را دوست داشتم چون دربارهٔ کشورها یاد می‌گرفتم.,At school I liked geography because I learned about countries.,,
"colleague, workmate, associate",B1,noun,جلسه,X,hamkâr,نشستی رسمی برای گفتگو,X,تمام کارمندان باید در جلسه ساعت ده شرکت کنند.,All employees must attend the ten o’clock meeting.,,
"ahead, forward",A2,adverb,جلو,X,jelow,به سمتِ جلو,X,من جلوتر می‌روم.,I go forward.,,
in front of,A1,preposition,جلوی,X,jolow-ye,در قسمتِ جلوی یک چیز,X,من جلوی در می‌ایستم و منتظر می‌مانم.,I stand in front of the door and wait.,,
skull,B2,noun,جمجمه,X,jomjome,استخوانِ سر,X,کلاه ایمنی برای محافظت از استخوان جمجمه در برابر ضربات شدید طراحی شده است.,The helmet is designed to protect the skull from severe blows.,,
Friday,A1,noun,جمعه,X,jom'e,روز تعطیلِ هفته در ایران,X,جمعه مدرسه ندارم.,On Friday I don’t have school.,,
population,B1,noun,جمعیت,X,jam'iyat,تعدادِ مردمِ یک کشور یا شهر,X,جمعیتِ این شهر هر سال بیشتر می‌شود.,The population of this city increases every year.,,
sentence,A1,noun,جمله,X,jomle,چند کلمه که با هم معنی کامل می‌سازند,X,این جمله کوتاه است و ساده است.,This sentence is short and simple.,,
republic,B1,noun,جمهوری,X,jomhuri,نوعی حکومت بدون پادشاه,X,در جمهوری رئیس‌جمهور را مردم انتخاب می‌کنند، نه یک خانواده.,"In a republic, people choose the president, not a single family.",,
republican,B2,noun,جمهوری‌خواه,X,jomhuri-xâh,طرفدارِ جمهوری,X,در آن دوره، جمهوری‌خواه‌ها می‌خواستند نقش پادشاه را کامل حذف کنند و ساختار تازه‌ای بسازند.,"In that period, the republicans wanted to completely remove the king’s role and build a new structure.",,
whorehouse,C,noun,جنده‌خانه,X,jende-xâne,محلِ روسپی‌گری,X,در اسناد تاریخی، از جنده‌خانه به عنوان بخشی از اقتصاد پنهانِ شهر یاد شده است.,"In historical documents, the brothel is mentioned as part of the city’s underground economy.",,
war,A2,noun,جنگ,X,jang,درگیریِ مسلحانه و بزرگ بینِ دو یا چند گروه,X,سربازان در جنگ برای دفاع از مرزهای کشورشان می‌جنگند.,Soldiers fight in the war to defend their country's borders.,,
"jungle, forest",A2,noun,جنگل,X,jangal,جایی بزرگ با درخت‌هایِ خیلی زیاد,X,در این جنگل درخت‌های بلند و سبز زیادی است.,There are many tall green trees in this forest.,,
south,A2,noun,جنوب,X,jonub,سمتی که پایینِ نقشه است,X,من در جنوب ایران زندگی می‌کنم.,I live in the south of Iran.,,
southern,A2,adjective,جنوبی,X,jonubi,مربوط به سمتِ جنوب,X,هوای شهرهای جنوبی گرم است.,The weather in southern cities is warm.,,
world,A2,noun,جهان,X,jahân,همهٔ جاها و همهٔ آدم‌ها,X,جهان بزرگ و زیباست.,The world is big and beautiful.,,
barley,B1,noun,جو,X,jow,دانهٔ خوراکی برای نان و سوپ,X,برای صبحانه جو پختم و با کمی نمک خوردم.,For breakfast I cooked barley and ate it with a little salt.,,
answer,A2,noun,جواب,X,javâb,پاسخ به یک پرسش,X,جوابِ این سؤال ساده است.,The answer to this question is simple.,,
"answer, respond, reply",A2,verb,جواب دادن,X,javâb dâdan,دادنِ پاسخ به یک پرسش,X,من به پیامِ تو جواب می‌دهم.,I’m replying to your message.,,Duplicate
young,A1,adjective,جوان,X,javân,کم‌سن,X,او هنوز جوان است.,He is still young.,,
sock,A1,noun,جوراب,X,jurâb,لباسی که به پا می‌پوشیم,X,جورابم را در ماشین می‌شویم.,I wash my socks in the machine.,,
pocket,A2,noun,جیب,X,"jib, jeyb",جای کوچک در لباس,X,من کلیدهایم را در جیب شلوارم گذاشتم تا گم نشوند.,I put my keys in my trouser pocket so they wouldn't get lost.,,
printing,A2,noun,چاپ,X,čâp,صنعتِ تکثیرِ متن و عکس,X,این کتاب قدیمی است و کیفیت چاپ آن خیلی خوب نیست.,This book is old and the print quality is not very good.,,
print,A1,verb,چاپ کردن,X,čâp kardan,کپی کردن روی کاغذ,X,من می‌خواهم این عکس زیبا را چاپ کنم.,I want to print this beautiful photo.,,
printer,B1,noun,چاپگر,X,čâpgar,دستگاهِ کپیِ فایل روی کاغذ,X,جوهر چاپگر تمام شده است و من نمی‌توانم مدارکم را پرینت بگیرم.,The printer ran out of ink and I can't print my documents.,,
knife,A1,noun,چاقو,X,čâġu,ابزار برای بریدن غذا,X,با چاقو نان را می‌بُرم.,I cut the bread with a knife.,,
tea,A1,noun,چای,X,čây,نوشیدنی گرم از برگ,X,چای را داغ می‌نوشم.,I drink the tea hot.,,
left,A1,adjective,چپ,X,čap,سمتی که مقابلِ راست است,X,پای چپم درد می‌کند.,My left leg hurts.,,
umbrella,A1,noun,چتر,X,čatr,چیزی برای نگه داشتن از باران,X,چتر را برای باران برمی‌دارم.,I take an umbrella for the rain.,,
why,A1,adverb,چرا,X,čerâ,برای پرسیدن دلیل,X,چرا ناراحت هستی؟,Why are you upset?,,
lamp,A1,noun,چراغ,X,čerâġ,وسیله‌ای برای روشن کردن اتاق,X,چراغ اتاق را روشن می‌کند.,The room lamp makes light.,,
traffic light,A2,noun,چراغ راهنمایی,X,čerâġ-e râhnamâyi,چراغی برای نظمِ خیابان,X,چراغ راهنمایی قرمز شد.,The traffic light turned red.,,
"flashlight, torch",A2,noun,چراغ قوه,X,čerâġ ġovve,منبع نورِ دستی و کوچک,X,وقتی برق‌ها رفت، من از چراغ قوه برای دیدن راه استفاده کردم.,"When the power went out, I used a flashlight to find my way.",,
wheel,A2,noun,چرخ,X,čarx,قطعه‌ی گردِ زیر ماشین,X,یکی از چرخ‌های ماشین پنچر شده است و باید آن را عوض کنم.,One of the tires on the car is flat and I need to change it.,,
dirty,B1,adjective,چرکین,X,čerkin,بسیار کثیف,X,بعد از سفر طولانی، لباس‌ها چرکین شد و مجبور شدم همه را بشویم.,"After the long trip, the clothes got dirty and I had to wash them all.",,
leather,B1,noun,چرم,X,čarm,پوستِ دباغی شده‌ی حیوان,X,این کفش‌ها از چرم طبیعی ساخته شده‌اند و دوام بسیار زیادی دارند.,These shoes are made of natural leather and are very durable.,,
glue,A2,noun,چسب,X,časb,ماده‌ای برای چسباندن,X,کاغذ پاره شده است؛ لطفا کمی چسب به من بده تا آن را درست کنم.,The paper is torn; please give me some glue to fix it.,,
"stick, be stuck",B1,verb,چسپیدن,X,časpidan,متصل شدن با چسب,X,آدامس به کف کفش من چسپیده است و جدا نمی‌شود.,The chewing gum is stuck to the soles of my shoes and won't come off.,,
eye,A1,noun,چشم,X,čašm,عضوی برای دیدن,X,چشمم آب می‌دهد.,My eye is watering.,,
how,A1,adverb,چطور,X,četowr,برای پرسیدن روش,X,چطور به اسلو می‌روی؟,How do you go to Oslo?,,
"check, bank check",B1,noun,چک,X,ček,سندِ پرداختِ بانکی,X,او برای پرداخت هزینه خرید ماشین، یک چک بانکی به فروشنده داد.,He gave the salesman a bank check to pay for the car.,,
hammer,A2,noun,چکش,X,čakoš,ابزاری برای کوبیدنِ میخ,X,چکش روی میز است.,The hammer is on the table.,,
"suitcase, luggage, suitcase",A2,noun,چمدان,X,čamedân,وسیله‌ای برای حملِ لباس در سفر,X,من لباس‌هایم را در چمدان چرخ‌دار گذاشتم.,I put my clothes in a rolling suitcase.,,
"how many, how much",A1,determiner,چند,X,čand,برای پرسیدن تعداد یا مقدار,X,چند تا سیب داری؟,How many apples do you have?,,
fork,A1,noun,چنگال,X,čangâl,وسیله‌ای برای خوردن غذا که چند دندانه دارد,X,چنگال برای پاستا است.,A fork is for pasta.,,
"which, what",A1,pronoun,چه,X,če,برای پرسیدن «کدام» یا «چه چیز»,X,چه می‌خواهی، چای یا آب؟,"What do you want, tea or water?",,
who (formal),A1,pronoun,چه کسی,X,če kasi,برای پرسیدن هویتِ یک نفر به شکل رسمی,X,چه کسی اینجا است؟,Who is here?,,
four,A1,numeral,چهار,X,čahâr,عدد ۴,X,چهار یعنی دو و دو.,Four means two and two.,,
fourteen,A1,numeral,چهارده,X,čahârdah,عدد ۱۴,X,چهارده یعنی ده و چهار.,Fourteen means ten and four.,,
Wednesday,A1,noun,چهارشنبه,X,čahâršanbe,روز چهارمِ هفته در ایران,X,چهارشنبه کلاس دارم.,On Wednesday I have class.,,
fourth,A1,adjective,چهارم,X,čahârom,رتبهٔ ۴,X,امروز روز چهارمِ ماه است.,Today is the fourth day of the month.,,
forty,A1,numeral,چهل,X,čehel,عدد ۴۰,X,چهل یعنی چهار تا ده.,Forty means four tens.,,
wood,A2,noun,چوب,X,čub,ماده‌ای از درخت,X,این میز از چوب است.,This table is made of wood.,,
wooden,A2,adjective,چوبی,X,čubi,ساخته شده از چوب,X,این صندلی چوبی است.,This chair is wooden.,,
"because, since",A2,conjunction,چون,X,čun,برای دلیل آوردن,X,چون باران می‌بارد، بیرون نمی‌روم.,"Because it’s raining, I’m not going out.",,
what,A1,pronoun,چی,X,či,ضمیر پرسشیِ خودمانی برای «چه چیز»,X,چی می‌خواهی؟,What do you want?,,
"chips, crisps",A1,noun,چیپس,X,čips,خوراکی ترد از سیب‌زمینی,X,چیپس را با فیلم می‌خورم.,I eat chips with a movie.,,
thing,A1,noun,چیز,X,čiz,هر شیء یا مورد,X,این چیز را با دست باز نمی‌کنم.,I don’t open this thing by hand.,,
something,A1,noun,چیزی,X,čizê,یک شیء یا مورد نامشخص,X,چیزی در کیف من است.,There is something in my bag.,,
"what is, what's",A1,verb,چیست,X,čist,شکل پرسشیِ «بودن» برای سؤال دربارهٔ ماهیت,X,اسمِ این غذا چیست؟,What is the name of this food?,,
China,A1,noun,چین,X,čin,کشوری بزرگ در شرق آسیا,X,چین یک کشور بزرگ است.,China is a big country.,,
Chinese,A1,adjective,چینی,X,čini,مربوط به آن کشور در شرق آسیا,X,این غذای چینی تند است.,This Chinese food is spicy.,,
ruler,B2,noun,حاکم,X,hâkem,فرمانروای یک کشور یا شهر,X,حاکمِ شهر دستور داد دروازه‌ها را شب‌ها ببندند.,The ruler of the city ordered the gates to be closed at night.,,
